frequency,time,days,stationName,language,itu,txLocation,coordinates,power,azimuth,remarks
40,0000-2400,1234567,Time Signal,A1B,J,Otakadoyama Tamura C,372221N1405056E,50,ND,NICT
60,0000-2400,1234567,Time Signal,A1B,J,Haganeyama,332756N1301032E,50,ND,NICT
60,0000-2400,1234567,WWVB,PWM/PM,USA,Colorado Denver,404028N1050239W,5,ND,WWVB
153,0000-2400,1234567,Antena Satelor,Romanian,ROU,Brasov Bod,454513N0253625E,200,ND,SRR
162,0000-2400,1234567,Time Signal,French,F,Allouis,471010N0021216E,1000,,TDF
164,2300-1600,1234567,Mongolian Radio 1,Mongolian,MNG,Ulaanbaatar,474755N1071115E,500,ND,MNR
171,0500-2400,1234567,"Radio Mediterranee Int'l,",French/Arabic/,MRC,Nador,350230N0025515W,1600,ND,MEDI1
198,0520-0100,1234567,BBC R4,English,G,Droitwich,521744N0020621W,250,,BBC R4
198,0520-0100,1234567,BBC R4,English,G,Westerglen,555828N0034905W,250,,BBC R4
207,0000-2400,1234567,Rikisutvarpid Ras 1+2,Icelandic,ISL,Gufuskalar,652223N0342022W,100,,RUV
209,2300-1600,1234567,Mongolian Radio 1,Mongolian,MNG,Choibalsan,480021N1142608E,75,ND,MNR
209,2300-1600,1234567,Mongolian Radio 1,Mongolian,MNG,Dalanzadgad,433155N1042442E,75,ND,MNR
209,2300-1600,1234567,Mongolian Radio 1,Mongolian,MNG,Ulgii,485725N0895813E,75,ND,MNR
225,0440-0450,.234567,Polskie Radio 1,Belarussian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,0906-0916,1234567,Polskie Radio 1,Ukrainian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,1000-0959,1234567,Polskie Radio 1,Polish,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,1010-1020,1......,Polskie Radio 1,Belarussian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,1020-1030,.234567,Polskie Radio 1,Belarussian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,1306-1316,1234567,Polskie Radio 1,Ukrainian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,1606-1616,1234567,Polskie Radio 1,Ukrainian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,1905-1915,1......,Polskie Radio 1,Belarussian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
225,2020-2030,1234567,Polskie Radio 1,Belarussian,POL,Solec Kujawski,530116N0181539E,1000,ND,POR
227,2300-1600,1234567,Mongolian Radio 1,Mongolian,MNG,Altay,461911N0961502E,75,ND,MNR
252,0000-2400,1234567,R.Algerienne Chaine 3,French,ALG,Tipaza,363358N0022850E,750,ND,ALG3
531,0000-2400,1234567,Kringvarp ForoyaUt.,Faroese,FRO,Akraberg,612352N0064058W,10,ND,KVF
531,0000-2400,1234567,NHK 1 Imari,Japanese,J,Saga-Imari,331709N1295033E,0.1,,
